========================================================================
FIFA 17 FLOW TRACE RESULTS
Run: 2026-04-17 16:06:09
Verdict: LOGIN_SENT
========================================================================

--- FRIDA ERRORS (first, if any) ---


--- FRIDA FLOW TRACE (full) ---
> 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92187] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92202] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92219] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92234] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92252] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92270] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92285] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92303] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92318] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92335] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92351] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92369] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92387] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92402] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92419] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92434] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92452] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92470] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92485] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92504] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92518] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92536] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92551] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92568] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92586] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92604] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92619] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92637] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92652] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92668] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92686] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92701] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92719] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92734] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92752] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92770] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92785] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92803] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92818] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92835] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92853] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92868] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92886] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92901] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92919] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92937] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92952] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92970] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  92985] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  93002] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  93020] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  93035] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  93053] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  93068] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  93086] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  93101] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  93119] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  93137] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  93152] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  93170] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
[  93185] IsOriginSDKConnected => 1  (DAT_144b7c7a0 = 0x27a48f10)
